,From Date,To Date,PM2.5 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2)
122,21-Aug-2020 - 00:00,22-Aug-2020 - 00:00,26.97,2.49,9.15,11.55,3.3,0.43,22.95,0.22,0.0,0.09,,,,73.22,0.35,205.63,51.77
123,22-Aug-2020 - 00:00,23-Aug-2020 - 00:00,28.9,2.3,8.78,10.93,3.77,0.32,14.84,0.0,0.0,,,,,78.31,0.28,221.97,48.82
124,23-Aug-2020 - 00:00,24-Aug-2020 - 00:00,30.26,1.75,8.67,10.28,2.82,0.29,14.67,0.0,0.0,,,,,79.45,0.31,208.81,30.33
125,24-Aug-2020 - 00:00,25-Aug-2020 - 00:00,27.3,1.85,9.3,11.0,2.83,0.36,18.2,0.25,0.03,0.17,0.03,,,75.15,0.37,188.19,74.18
126,25-Aug-2020 - 00:00,26-Aug-2020 - 00:00,28.19,2.59,11.71,14.0,3.68,0.42,15.02,0.69,1.1,,,,,80.66,0.48,113.07,38.44
127,26-Aug-2020 - 00:00,27-Aug-2020 - 00:00,22.77,2.9,9.62,12.47,4.39,0.46,20.64,0.04,0.07,,,,,81.3,0.28,99.14,62.16
128,27-Aug-2020 - 00:00,28-Aug-2020 - 00:00,26.11,3.02,9.14,12.13,5.99,0.43,28.03,0.12,0.0,,,,,73.77,0.31,153.42,75.95
129,28-Aug-2020 - 00:00,29-Aug-2020 - 00:00,28.11,3.76,9.32,13.01,4.41,0.43,16.16,0.1,0.1,0.06,0.02,,,76.94,0.34,164.98,75.55
130,29-Aug-2020 - 00:00,30-Aug-2020 - 00:00,28.79,2.17,6.11,8.13,4.32,0.47,16.99,0.0,0.0,,,,,76.72,0.28,210.98,80.89
131,30-Aug-2020 - 00:00,31-Aug-2020 - 00:00,27.28,1.94,6.87,8.66,3.61,0.31,7.68,0.0,0.0,,,,,79.45,0.49,184.81,36.3
132,31-Aug-2020 - 00:00,01-Sep-2020 - 00:00,21.29,2.94,7.01,9.93,3.39,0.47,6.99,0.0,0.0,,,,,75.64,0.29,136.15,20.98
133,01-Sep-2020 - 00:00,02-Sep-2020 - 00:00,41.59,3.66,14.43,17.96,4.64,0.72,21.66,0.44,0.0,,,,,70.16,0.8,114.73,48.06
134,02-Sep-2020 - 00:00,03-Sep-2020 - 00:00,58.69,4.12,8.1,12.08,5.51,0.42,19.2,0.05,0.0,,,,,74.38,0.38,105.31,41.02
135,03-Sep-2020 - 00:00,04-Sep-2020 - 00:00,25.2,2.98,4.22,7.14,4.85,0.42,17.89,0.0,0.0,,,,,77.25,0.41,113.04,83.66
136,04-Sep-2020 - 00:00,05-Sep-2020 - 00:00,21.64,2.82,4.1,6.89,2.42,0.42,17.05,0.17,0.0,,,,,75.2,0.42,95.75,64.92
137,05-Sep-2020 - 00:00,06-Sep-2020 - 00:00,48.03,2.93,3.75,6.64,2.86,0.36,12.81,0.05,0.0,0.03,,,,72.57,0.49,102.49,107.47
138,06-Sep-2020 - 00:00,07-Sep-2020 - 00:00,32.45,2.46,3.74,6.12,3.88,0.35,36.56,0.0,0.0,,,,,73.45,0.31,161.28,84.64
139,07-Sep-2020 - 00:00,08-Sep-2020 - 00:00,45.37,2.1,4.04,6.05,6.44,0.43,28.87,0.0,0.0,,,,,79.71,0.39,83.81,38.31
140,08-Sep-2020 - 00:00,09-Sep-2020 - 00:00,37.5,2.37,4.22,6.56,5.92,0.47,36.72,0.02,0.0,0.01,,,,71.21,0.25,139.74,41.38
141,09-Sep-2020 - 00:00,10-Sep-2020 - 00:00,51.61,3.03,3.68,6.62,3.15,0.39,36.63,0.36,0.0,0.15,,,,77.95,0.26,158.71,35.07
142,10-Sep-2020 - 00:00,11-Sep-2020 - 00:00,38.56,4.84,5.55,8.23,4.45,0.31,13.78,0.03,0.03,0.03,0.03,,,75.89,0.24,184.96,34.98
143,11-Sep-2020 - 00:00,12-Sep-2020 - 00:00,67.35,4.7,4.61,6.47,4.31,0.39,16.53,0.04,0.0,0.02,,,,67.13,0.27,239.11,49.58
